ID_avaliacao,avaliacao
8558,"Até que o sabor é bom. Muito melhor que tomar whey. Vale a pena para um lanche, ceia, dia corrido"
3553,"Nossa sério, absurdo, compro o produto com recorrência, dessa vez senti um gosto estranho e não reparei assim que comprei, mas ele está vencido, veio uma leva vencida desde MARÇO, sendo que foi entregue pra mim em julho."
5590,Bom custo benefício
6617,"Saboroso e nutritivo. Tem me salvado nos dias de correria do trabalho, quando não dá para fazer um lanche. Me ajuda bastante com os treinos."
7987,"Fiquei decepcionada com a situação, a embalagem chegou totalmente encharcada (deixaram a mercadoria na portaria do condomínio cheio de formiga e com a embalagem derretendo). De 12 unidades, 06 estavam estouradas e o resto derretendo pois a embalagem do produto é de papelão. Totalmente impróprio para o consumo!"
9102,Uma unidade do pacote veio furada e vazou em toda minha geladeira
4992,Comprei em junho mas o produto venceu em março
2127,"Gente, o meu chegou todo certinho, eu tava com medo de vir faltando um ou estar quase fora do prazo de validade, mas veio tudo perfeito, dentro do prazo, bem embalado, tudo tranquilo, recomendo demais"
6697,"Gosto muito desse produto, ótima qualidade, e o preço estava muito bom comparado ao que vemos no mercado."
1986,Esse produto veio na quantidade que eu não pedi e ainda veio com a data de validade próxima. Quero o reembolso dessa compra
7452,TODOS VIERAM COM VENCIMENTO DE 3 MESES ATRÁS!!!
